# Monthly global carbon dioxide concentrations, aggregated by NOAA ESRL
# 	ftp://aftp.cmdl.noaa.gov/products/trends/co2/co2_mm_gl.txt
#
# DECIMALYR = year and month represented as decimal non-integer
# MONCO2 = monthly global mean CO2 mole fraction in dry air (p.p.m.v.)
DECIMALYR	MONCO2
1980.042	338.45
1980.125	339.15
1980.208	339.47
1980.292	339.86
1980.375	340.30
1980.458	339.87
1980.542	338.34
1980.625	337.12
1980.708	336.95
1980.792	337.72
1980.875	338.83
1980.958	339.54
1981.042	340.09
1981.125	340.65
1981.208	341.28
1981.292	341.56
1981.375	341.29
1981.458	340.49
1981.542	339.10
1981.625	337.95
1981.708	337.86
1981.792	338.95
1981.875	340.06
1981.958	340.63
1982.042	341.27
1982.125	341.85
1982.208	342.13
1982.292	342.42
1982.375	342.27
1982.458	341.39
1982.542	339.66
1982.625	338.02
1982.708	338.08
1982.792	339.53
1982.875	340.86
1982.958	341.68
1983.042	342.27
1983.125	342.64
1983.208	342.93
1983.292	343.41
1983.375	343.74
1983.458	343.41
1983.542	342.06
1983.625	340.55
1983.708	340.46
1983.792	341.67
1983.875	342.73
1983.958	343.39
1984.042	344.22
1984.125	344.74
1984.208	344.86
1984.292	345.09
1984.375	345.24
1984.458	344.47
1984.542	343.11
1984.625	342.13
1984.708	342.04
1984.792	342.91
1984.875	344.08
1984.958	344.92
1985.042	345.27
1985.125	345.71
1985.208	346.55
1985.292	346.84
1985.375	346.68
1985.458	346.18
1985.542	344.86
1985.625	343.36
1985.708	343.30
1985.792	344.56
1985.875	345.69
1985.958	346.45
1986.042	347.01
1986.125	347.23
1986.208	347.61
1986.292	348.13
1986.375	348.23
1986.458	347.67
1986.542	346.21
1986.625	344.83
1986.708	344.76
1986.792	345.95
1986.875	347.22
1986.958	347.67
1987.042	347.92
1987.125	348.47
1987.208	349.20
1987.292	349.89
1987.375	350.17
1987.458	349.40
1987.542	347.83
1987.625	346.59
1987.708	346.64
1987.792	347.91
1987.875	349.19
1987.958	350.15
1988.042	350.87
1988.125	351.43
1988.208	351.81
1988.292	352.26
1988.375	352.43
1988.458	351.75
1988.542	350.27
1988.625	349.07
1988.708	349.27
1988.792	350.45
1988.875	351.63
1988.958	352.48
1989.042	353.03
1989.125	353.49
1989.208	354.04
1989.292	354.42
1989.375	354.23
1989.458	353.29
1989.542	351.58
1989.625	350.19
1989.708	350.52
1989.792	351.81
1989.875	352.98
1989.958	353.84
1990.042	354.39
1990.125	354.78
1990.208	355.08
1990.292	355.40
1990.375	355.31
1990.458	354.24
1990.542	352.63
1990.625	351.50
1990.708	351.71
1990.792	353.10
1990.875	354.34
1990.958	355.09
1991.042	355.66
1991.125	356.08
1991.208	356.57
1991.292	357.08
1991.375	357.00
1991.458	356.08
1991.542	354.44
1991.625	352.95
1991.708	352.82
1991.792	353.90
1991.875	355.06
1991.958	355.85
1992.042	356.42
1992.125	356.80
1992.208	357.16
1992.292	357.65
1992.375	357.73
1992.458	356.78
1992.542	355.09
1992.625	353.58
1992.708	353.49
1992.792	354.70
1992.875	355.87
1992.958	356.63
1993.042	357.09
1993.125	357.42
1993.208	357.83
1993.292	358.29
1993.375	358.24
1993.458	357.22
1993.542	355.62
1993.625	354.33
1993.708	354.35
1993.792	355.59
1993.875	356.83
1993.958	357.72
1994.042	358.34
1994.125	358.87
1994.208	359.22
1994.292	359.57
1994.375	359.61
1994.458	358.68
1994.542	357.16
1994.625	355.94
1994.708	355.90
1994.792	357.13
1994.875	358.57
1994.958	359.44
1995.042	360.00
1995.125	360.46
1995.208	360.89
1995.292	361.36
1995.375	361.32
1995.458	360.48
1995.542	358.84
1995.625	357.56
1995.708	357.90
1995.792	359.29
1995.875	360.62
1995.958	361.50
1996.042	361.99
1996.125	362.35
1996.208	362.67
1996.292	363.00
1996.375	363.14
1996.458	362.74
1996.542	361.43
1996.625	359.92
1996.708	359.55
1996.792	360.52
1996.875	361.63
1996.958	362.49
1997.042	363.13
1997.125	363.51
1997.208	363.87
