# Anthropometric measurements of military personnel in South Vietnam, recorded
# in the 1963 anthropometric survey described in R M White's 1964 ARPA report
# "Anthropometric Survey of the Armed Forces of the Republic of Vietnam"
# (DTIC no. AD 457 939).
# http://oai.dtic.mil/oai/oai?verb=getRecord&metadataPrefix=html&identifier=AD0457939
#
# Data originally downloaded from
#	http://www.dtic.mil/dticasd/docs-a/anthro_other_military.html
# circa 2009, but that URL is now defunct (gives a 404 error).
#
# This file omits 26 subjects of the original 2129 because those subjects
# had their age or a measurement missing.
#
# SUBJ_NUM = subject identifier
#            (the first digit appears to identify the subsample of personnel:
#             1 = Navy in Saigon
#             2 = Marines in Saigon
#             3 = Air Force in Saigon
#             4 = Army, Airbone Brig. in Saigon
#             5 = Army, 5th Inf. Div. in Bien Hoa
#             6 = Army, Basic Trainees in Quang Trung
#             7 = Army, 7th Inf. Div. in My Tho)
# AGE = age (years)
# WEIGHT = body mass (kg)
# STATURE = standing height, from floor to top of head (cm)
# SITTING_HT = sitting height, from top of seat to top of head (cm)
# KNEE_HT = knee height, from footrest surface to top of right knee (cm)
# WAIST_CIRC = waist circumference at navel, with relaxed abdomen (cm)
# HIP_CIRC = hip/buttock circumference where buttocks protrude most (cm)
SUBJ_NUM	AGE	WEIGHT	STATURE	SITTING_HT	KNEE_HT	WAIST_CIRC	HIP_CIRC
1001	40.5	52	161.4	82.0	52.3	70.0	82.4
1002	39.5	52	161.4	86.0	53.1	67.0	85.4
1003	22.5	50	164.4	86.1	49.0	63.0	83.4
1004	27.5	48	159.4	84.2	48.2	67.0	84.4
1005	36.5	64	166.4	87.2	54.2	80.0	91.4
1006	22.5	70	160.4	84.9	50.0	81.0	97.4
1007	22.5	55	157.4	81.4	51.8	69.0	84.4
1008	21.5	52	166.4	91.7	52.6	65.5	81.4
1009	27.5	52	161.4	86.5	50.7	68.0	83.4
1010	30.5	69	168.4	90.6	52.6	81.0	93.4
1011	22.5	49	158.4	82.9	50.9	64.0	79.4
1012	23.5	42	152.4	80.6	50.0	61.5	76.4
1013	28.5	50	151.4	77.9	43.6	75.0	83.4
1014	33.5	47	158.4	79.5	47.0	66.0	78.4
1015	24.5	57	161.4	88.5	51.5	71.0	85.4
1016	21.5	42	155.4	81.0	49.0	63.5	79.4
1017	20.5	50	168.4	89.5	50.1	61.5	80.4
1018	23.5	53	166.4	85.9	50.0	71.0	85.4
1019	20.5	53	160.4	85.7	49.0	70.0	86.4
1020	27.5	51	158.4	81.6	48.2	69.0	83.4
1021	25.5	45	155.4	86.5	46.0	61.5	79.4
1022	29.5	65	163.4	91.4	49.5	79.5	92.4
1023	25.5	50	158.4	85.7	48.4	66.0	82.4
1024	23.5	45	156.4	80.8	46.8	64.0	77.4
1025	26.5	50	159.4	82.9	47.4	70.0	83.4
1026	20.5	46	156.4	82.5	47.0	61.0	78.4
1027	31.5	46	153.4	82.2	45.6	68.5	79.4
1028	21.5	49	163.4	87.1	49.9	61.5	77.4
1029	20.5	54	168.4	87.7	50.7	69.5	84.4
1030	21.5	51	159.4	84.9	48.2	66.0	83.4
1031	20.5	54	162.4	91.1	49.5	68.5	85.4
1032	22.5	43	155.4	84.9	45.6	64.0	78.4
1033	30.5	37	146.4	78.5	43.5	57.5	74.4
1034	19.5	49	166.4	86.8	51.4	68.0	78.4
1035	25.5	44	150.4	83.5	44.0	63.0	75.4
1036	25.5	42	161.4	85.5	48.0	57.5	72.4
1037	26.5	49	162.4	89.0	48.6	66.0	81.4
1038	32.5	51	159.4	85.9	47.3	68.0	78.4
1039	20.5	42	153.4	80.0	47.4	64.0	77.4
1040	32.5	48	157.4	81.5	48.5	68.0	84.4
1041	25.5	46	155.4	81.2	46.6	66.5	78.4
1042	25.5	43	161.4	86.5	48.9	66.5	78.4
1043	29.5	54	169.4	89.8	51.9	67.5	83.4
1044	22.5	47	164.4	90.0	46.0	64.5	81.4
1045	26.5	51	163.4	84.4	46.0	67.0	81.4
1046	22.5	53	153.4	81.0	45.4	69.5	83.4
1047	25.5	54	161.4	86.0	46.0	67.5	85.4
1048	21.5	46	164.4	89.3	47.3	58.7	80.4
1049	29.5	64	165.4	91.1	46.4	80.3	92.4
1050	28.5	47	167.4	91.6	49.8	62.8	83.4
1051	27.5	41	156.4	84.4	44.9	60.5	77.4
1052	22.5	46	159.4	87.9	45.0	66.0	79.4
1053	23.5	47	156.4	83.6	44.9	66.5	83.4
1054	34.5	47	156.4	82.9	46.6	63.5	87.4
1055	30.5	47	159.4	84.7	47.4	65.2	80.4
1056	23.5	53	166.4	82.6	48.9	68.0	85.4
1057	28.5	57	167.4	84.6	46.6	73.5	88.4
1058	20.5	42	155.4	77.3	46.8	60.1	77.4
1059	23.5	56	166.4	85.0	45.6	68.2	85.4
1060	30.5	47	155.4	86.0	44.9	67.0	82.4
1061	21.5	55	168.4	91.5	50.5	67.8	86.4
1062	23.5	45	161.4	86.2	46.8	65.7	79.4
1063	19.5	51	159.4	82.5	48.4	69.0	80.4
1064	22.5	47	148.4	79.7	45.4	65.0	77.4
1065	20.5	46	158.4	85.0	48.2	64.0	82.4
1066	19.5	47	160.4	86.3	47.6	67.6	82.4
1067	25.5	41	153.4	80.1	44.9	63.2	73.4
1068	21.5	41	157.4	85.4	45.6	56.0	76.4
1069	21.5	52	157.4	84.6	49.3	71.5	82.4
1070	19.5	53	163.4	86.1	48.9	68.5	85.4
1071	18.5	50	160.4	88.1	46.2	65.2	81.4
1072	19.5	52	161.4	84.7	48.7	69.0	84.4
1073	19.5	50	156.4	83.4	47.3	77.6	82.4
1074	22.5	45	154.4	78.0	45.8	62.8	81.4
1075	19.5	53	155.4	82.5	48.5	68.5	84.4
1076	22.5	56	164.4	83.9	49.8	70.1	87.4
1077	20.5	47	158.4	84.5	47.8	67.0	80.4
1078	21.5	56	164.4	89.5	49.7	71.3	85.4
1079	31.5	48	169.4	93.3	47.4	64.5	80.4
1080	35.5	46	157.4	83.5	46.8	63.0	80.4
1081	22.5	46	159.4	84.5	47.5	62.5	78.4
1082	19.5	44	161.4	84.6	47.5	57.0	75.4
1083	30.5	45	164.4	85.3	48.5	63.6	79.4
1084	27.5	49	157.4	80.7	45.2	73.0	82.4
1085	30.5	43	161.4	87.5	48.5	62.5	79.4
1086	21.5	54	161.4	85.7	47.5	66.5	83.4
1087	26.5	51	159.4	84.0	48.6	70.0	84.4
1088	32.5	50	158.4	80.7	43.5	68.0	82.4
1089	23.5	52	168.4	89.4	51.2	67.2	81.4
1090	23.5	47	162.4	79.5	49.3	67.0	78.4
1091	23.5	46	165.4	89.3	45.3	68.5	79.4
1092	32.5	61	162.4	91.4	45.7	73.1	89.4
1093	20.5	49	156.4	84.4	44.7	69.5	81.4
1094	19.5	44	160.4	84.5	46.5	63.0	78.4
1095	23.5	48	161.4	82.8	49.6	64.0	83.4
1096	23.5	46	161.4	85.5	49.2	62.0	80.4
1097	23.5	49	166.4	82.5	50.2	66.0	79.4
1098	21.5	54	161.4	85.3	45.4	68.0	84.4
1099	21.5	49	163.4	86.6	42.3	67.3	81.4
1100	20.5	39	152.4	80.5	43.9	62.0	77.4
1101	29.5	41	155.4	81.0	45.7	63.0	75.4
1102	21.5	45	160.4	85.9	46.5	70.0	78.4
1103	20.5	49	158.4	83.9	41.9	62.0	80.4
1104	28.5	50	163.4	90.6	45.7	68.5	80.4
1105	20.5	53	161.4	83.5	45.5	71.0	84.4
1106	27.5	52	162.4	88.6	47.5	72.5	84.4
1107	24.5	45	157.4	85.6	47.5	61.0	79.4
1108	23.5	55	156.4	83.6	46.7	68.0	85.4
1109	22.5	51	152.4	80.7	44.6	68.4	82.4
1110	29.5	47	158.4	84.4	47.8	64.5	78.4
1111	22.5	49	159.4	83.5	47.6	67.0	80.4
1112	36.5	50	156.4	85.1	46.3	71.6	84.4
1113	20.5	51	162.4	85.7	48.5	67.0	85.4
1114	26.5	41	150.4	77.5	43.8	65.0	75.4
1115	23.5	45	160.4	85.5	48.5	64.0	78.4
1116	26.5	51	163.4	86.5	46.7	69.2	81.4
1117	30.5	44	154.4	82.5	44.8	63.5	75.4
1118	26.5	55	165.4	90.2	48.9	67.0	81.4
1119	22.5	47	162.4	86.2	48.5	64.0	79.4
1120	25.5	48	160.4	86.8	46.6	62.5	79.4
1121	23.5	44	161.4	85.8	47.5	68.5	82.4
1122	21.5	45	158.4	88.5	44.6	64.0	78.4
1123	24.5	48	165.4	87.6	48.3	64.5	80.4
1124	32.5	51	157.4	82.5	44.5	69.5	83.4
1125	19.5	44	160.4	85.5	47.0	63.5	77.4
1126	23.5	47	160.4	83.5	46.8	67.5	76.4
1127	27.5	44	156.4	83.0	48.3	61.5	77.4
1128	28.5	60	157.4	89.5	43.5	77.0	88.4
1129	29.5	47	160.4	83.5	48.5	63.5	78.4
1130	23.5	49	159.4	85.5	47.5	66.5	82.4
1131	22.5	45	156.4	85.5	45.5	63.3	79.4
1132	22.5	54	173.4	88.0	51.0	70.5	82.4
1133	21.5	47	157.4	82.5	48.2	65.5	78.4
1134	23.5	57	159.4	86.2	48.5	75.7	85.4
1135	35.5	63	162.4	88.6	47.5	78.0	88.4
1136	29.5	52	166.4	92.0	49.5	71.4	83.4
1137	23.5	54	164.4	87.0	50.3	67.3	84.4
1138	22.5	50	154.4	81.3	46.6	67.0	83.4
1139	22.5	49	165.4	88.6	50.5	61.0	82.4
1140	20.5	49	156.4	82.8	47.5	59.5	78.4
1141	22.5	49	154.4	82.6	47.4	65.5	82.4
1142	27.5	44	160.4	87.5	46.3	65.5	76.4
1143	25.5	54	167.4	90.6	50.0	64.5	83.4
1144	22.5	54	161.4	83.2	48.1	68.5	83.4
1145	21.5	50	161.4	86.7	47.5	65.0	78.4
1146	21.5	55	164.4	88.0	48.3	70.0	83.4
1147	26.5	49	162.4	83.3	48.5	68.0	81.4
1148	22.5	51	164.4	86.5	50.5	64.5	82.4
1149	28.5	49	156.4	89.4	48.5	66.0	78.4
1150	22.5	51	171.4	89.5	53.4	68.0	80.4
1151	22.5	55	169.4	90.0	51.0	68.0	86.4
1152	27.5	45	163.4	89.0	45.7	62.0	78.4
1153	23.5	44	158.4	89.6	47.0	61.0	76.4
1154	32.5	44	160.4	85.5	48.5	59.0	76.4
1155	28.5	57	174.4	90.6	53.8	66.5	87.4
1156	34.5	55	160.4	84.7	50.3	78.5	89.4
1157	21.5	49	167.4	88.5	52.6	62.1	81.4
1158	27.5	54	158.4	86.4	46.3	75.0	88.4
1159	26.5	49	166.4	83.8	49.1	64.5	82.4
1160	21.5	57	176.4	91.0	52.5	67.3	85.4
1161	22.5	49	163.4	88.0	50.6	60.2	83.4
1162	22.5	53	161.4	88.5	49.7	65.0	84.4
1163	22.5	51	165.4	86.0	50.5	66.5	83.4
1164	22.5	53	169.4	90.5	50.6	69.0	82.4
1165	22.5	60	165.4	87.5	50.3	65.5	83.4
1166	22.5	54	163.4	90.1	47.5	64.5	82.4
1167	21.5	47	156.4	84.0	47.1	67.0	79.4
1168	22.5	51	160.4	86.3	47.4	63.0	83.4
1169	22.5	55	159.4	84.0	50.0	74.0	85.4
1170	22.5	49	156.4	83.4	46.6	65.0	81.4
1171	23.5	50	162.4	89.3	48.5	65.5	82.4
1172	24.5	52	161.4	87.5	49.0	65.5	81.4
1173	22.5	45	159.4	86.1	48.6	63.0	77.4
1174	22.5	50	159.4	87.8	47.0	63.0	79.4
1175	21.5	48	158.4	83.6	48.5	68.3	80.4
1176	21.5	52	161.4	86.0	49.6	66.5	82.4
