# Stature and waist circumference of Vietnamese military personnel in 1963,
# two anthropometric variables extracted from `RVN63_mil_anthro.dat`. See
# that file for details of the data's provenance.
#
# This is a nice dataset for testing because a lot of the x values are
# repeated, and the x-y correlation is unambiguously statistically significant
# but modest (r = +0.24).
#
# STATURE = standing height (cm)
# WAIST_CIRC = waist circumference at navel, with relaxed abdomen (cm)
STATURE	WAIST_CIRC
161.4	70.0
161.4	67.0
164.4	63.0
159.4	67.0
166.4	80.0
160.4	81.0
157.4	69.0
166.4	65.5
161.4	68.0
168.4	81.0
158.4	64.0
152.4	61.5
151.4	75.0
158.4	66.0
161.4	71.0
155.4	63.5
168.4	61.5
166.4	71.0
160.4	70.0
158.4	69.0
155.4	61.5
163.4	79.5
158.4	66.0
156.4	64.0
159.4	70.0
156.4	61.0
153.4	68.5
163.4	61.5
168.4	69.5
159.4	66.0
162.4	68.5
155.4	64.0
146.4	57.5
166.4	68.0
150.4	63.0
161.4	57.5
162.4	66.0
159.4	68.0
153.4	64.0
157.4	68.0
155.4	66.5
161.4	66.5
169.4	67.5
164.4	64.5
163.4	67.0
153.4	69.5
161.4	67.5
164.4	58.7
165.4	80.3
167.4	62.8
156.4	60.5
159.4	66.0
156.4	66.5
156.4	63.5
159.4	65.2
166.4	68.0
167.4	73.5
155.4	60.1
166.4	68.2
155.4	67.0
168.4	67.8
161.4	65.7
159.4	69.0
148.4	65.0
158.4	64.0
160.4	67.6
153.4	63.2
157.4	56.0
157.4	71.5
163.4	68.5
160.4	65.2
161.4	69.0
156.4	77.6
154.4	62.8
155.4	68.5
164.4	70.1
158.4	67.0
164.4	71.3
169.4	64.5
157.4	63.0
159.4	62.5
161.4	57.0
164.4	63.6
157.4	73.0
161.4	62.5
161.4	66.5
159.4	70.0
158.4	68.0
168.4	67.2
162.4	67.0
165.4	68.5
162.4	73.1
156.4	69.5
160.4	63.0
161.4	64.0
161.4	62.0
166.4	66.0
161.4	68.0
163.4	67.3
152.4	62.0
155.4	63.0
160.4	70.0
158.4	62.0
163.4	68.5
161.4	71.0
162.4	72.5
157.4	61.0
156.4	68.0
152.4	68.4
158.4	64.5
159.4	67.0
156.4	71.6
162.4	67.0
150.4	65.0
160.4	64.0
163.4	69.2
154.4	63.5
165.4	67.0
162.4	64.0
160.4	62.5
161.4	68.5
158.4	64.0
165.4	64.5
157.4	69.5
160.4	63.5
160.4	67.5
156.4	61.5
157.4	77.0
160.4	63.5
159.4	66.5
156.4	63.3
173.4	70.5
157.4	65.5
159.4	75.7
162.4	78.0
166.4	71.4
164.4	67.3
154.4	67.0
165.4	61.0
156.4	59.5
154.4	65.5
160.4	65.5
167.4	64.5
161.4	68.5
161.4	65.0
164.4	70.0
162.4	68.0
164.4	64.5
156.4	66.0
171.4	68.0
169.4	68.0
163.4	62.0
158.4	61.0
160.4	59.0
174.4	66.5
160.4	78.5
167.4	62.1
158.4	75.0
166.4	64.5
176.4	67.3
163.4	60.2
161.4	65.0
165.4	66.5
169.4	69.0
165.4	65.5
163.4	64.5
156.4	67.0
160.4	63.0
159.4	74.0
156.4	65.0
162.4	65.5
161.4	65.5
159.4	63.0
159.4	63.0
158.4	68.3
161.4	66.5
166.4	67.0
158.4	62.0
166.4	69.7
156.4	62.0
163.4	73.5
164.4	65.5
156.4	62.5
163.4	64.0
152.4	67.8
156.4	71.0
167.4	62.5
157.4	62.8
151.4	66.0
161.4	63.5
166.4	71.5
162.4	66.9
155.4	67.0
158.4	72.0
177.4	69.0
157.4	64.0
160.4	74.5
160.4	71.5
152.4	65.5
157.4	69.0
157.4	62.5
157.4	65.0
161.4	67.0
161.4	61.0
151.4	65.2
161.4	76.2
160.4	63.2
162.4	65.5
158.4	64.2
