AreaCode	MeanAge	SexRatPc	L4QualPc	FTStudPc	UKBo11Pc	LTUPc	T15	UKBoChPc	RVS
"E06000001"	39.8	48.6276	17.6	3.2	97.2193	3.1271	56.457	-0.9942	30.43
"E06000002"	37.8	48.9351	18.5	7.6	91.7854	3.0532	56.9979	-3.9063	34.52
"E06000003"	41.5	48.5697	18.9	3	97.7666	2.7143	63.5016	-0.1375	33.81
"E06000004"	39.1	49.1008	22.8	4.4	95.3859	2.3782	64.6913	-1.6125	38.27
"E06000005"	40.2	48.7695	23.7	2.6	94.7529	2.1048	62.1951	-1.919	43.82
"E06000006"	38.9	48.8031	17.6	3.3	97.3081	2.1498	63.9652	-0.7139	42.58
"E06000007"	39.5	49.5975	27.4	3.2	94.3089	1.5141	66.7886	-2.3737	45.73
"E06000008"	36.2	49.8661	19.8	4.7	85.2233	2.1251	62.1982	-3.9092	43.66
"E06000009"	41.3	49.1148	15.5	3.3	94.5778	2.4631	58.8104	-2.0135	32.54
"E06000010"	37.5	50.0846	15.2	7	91.4897	3.674	54.1889	-5.4851	32.38
"E06000011"	43.5	48.8924	25.9	3	96.1497	1.3811	63.6626	-1.1542	39.6
"E06000012"	40.2	49.022	16.2	3.2	95.6314	2.7136	59.4225	-1.8272	30.13
"E06000013"	40.8	49.3431	19.5	2.7	93.4552	1.9251	60.6404	-3.04	33.7
"E06000014"	39.5	48.6006	32.4	11.4	90.7963	1.1096	65.9988	-4.0788	58.04
"E06000015"	37.6	49.4653	24.2	6.5	86.0821	2.0458	62.4358	-5.3824	42.78
"E06000016"	34.8	49.3829	21.2	12.4	66.3948	2.522	60.5849	-10.5751	51.08
"E06000017"	42.4	50.6168	32.9	2.5	93.5856	0.9057	68.5167	-0.7782	49.43
"E06000018"	34.8	50.3065	21.9	18.4	80.4603	2.5139	58.3598	-9.6145	49.16
"E06000019"	43	49.2171	27.5	2.5	93.3245	1.2215	68.3447	-3.4102	40.78
"E06000020"	38.1	49.537	20.9	4.1	92.7167	1.9292	63.9151	-2.207	36.78
"E06000021"	38.5	49.7956	15.5	5.6	91.6814	2.1066	54.4368	-4.6076	30.64
"E06000022"	40.3	48.9001	33.4	10.9	90.7065	0.9897	74.1915	-2.834	57.85
"E06000023"	36.5	49.7557	32.8	10.2	85.259	1.5969	66.8652	-6.5259	61.73
"E06000024"	42.6	48.6079	28.4	2.6	94.196	1.0939	69.4797	-1.9692	47.83
"E06000025"	39.8	49.6348	26.7	3.9	93.4174	0.9789	70.9231	-2.799	47.32
