# UK real personal disposable income by quarter.
#
# Extracted from my Hibbs Jr. Bread & Peace model experiments, on which see
#	https://github.com/drewthomas/HibbsUK
#
# I derived these numbers by combining official UK statistics on population,
# household size, and real household income growth by quarter.
# Disappointingly, there is no official time series for RPDI as such.
#
# Y = year and quarter, represented as a decimal non-integer
# RPDI = real personal disposable income (GBP per quarter)
Y	RPDI
1961.125	1550
1961.375	1570
1961.625	1565
1961.875	1553
1962.125	1549
1962.375	1546
1962.625	1565
1962.875	1588
1963.125	1575
1963.375	1590
1963.625	1642
1963.875	1644
1964.125	1658
1964.375	1663
1964.625	1676
1964.875	1686
1965.125	1675
1965.375	1673
1965.625	1699
1965.875	1704
1966.125	1771
1966.375	1699
1966.625	1688
1966.875	1695
1967.125	1688
1967.375	1719
1967.625	1760
1967.875	1737
1968.125	1762
1968.375	1762
1968.625	1727
1968.875	1723
1969.125	1741
1969.375	1754
1969.625	1744
1969.875	1743
1970.125	1750
1970.375	1821
1970.625	1823
1970.875	1808
1971.125	1764
1971.375	1822
1971.625	1832
1971.875	1851
1972.125	1885
1972.375	2004
1972.625	1973
1972.875	2001
1973.125	2046
1973.375	2088
1973.625	2105
1973.875	2109
1974.125	2052
1974.375	2028
1974.625	2104
1974.875	2099
1975.125	2139
1975.375	2071
1975.625	2091
1975.875	2053
1976.125	2075
1976.375	2050
1976.625	2116
1976.875	2062
1977.125	2009
1977.375	1993
1977.625	2032
1977.875	2116
1978.125	2112
1978.375	2174
1978.625	2230
1978.875	2229
1979.125	2258
1979.375	2298
1979.625	2301
1979.875	2404
1980.125	2336
1980.375	2340
1980.625	2373
1980.875	2350
1981.125	2359
1981.375	2323
1981.625	2313
1981.875	2327
1982.125	2303
1982.375	2346
1982.625	2329
1982.875	2338
1983.125	2327
1983.375	2421
1983.625	2396
1983.875	2406
1984.125	2446
1984.375	2414
1984.625	2482
1984.875	2537
1985.125	2565
1985.375	2574
1985.625	2574
1985.875	2608
1986.125	2631
1986.375	2730
1986.625	2684
1986.875	2691
1987.125	2668
1987.375	2731
1987.625	2756
1987.875	2771
1988.125	2821
1988.375	2865
1988.625	2896
1988.875	2907
1989.125	2953
1989.375	2988
1989.625	3077
1989.875	3033
1990.125	3129
1990.375	3098
1990.625	3129
1990.875	3181
1991.125	3205
1991.375	3151
1991.625	3243
1991.875	3243
1992.125	3254
1992.375	3291
1992.625	3309
1992.875	3301
1993.125	3272
1993.375	3368
1993.625	3390
1993.875	3398
1994.125	3393
1994.375	3389
1994.625	3455
1994.875	3432
1995.125	3483
1995.375	3483
1995.625	3509
1995.875	3517
1996.125	3582
1996.375	3585
1996.625	3635
1996.875	3569
1997.125	3689
1997.375	3747
1997.625	3761
1997.875	3711
1998.125	3753
1998.375	3769
1998.625	3843
1998.875	3782
1999.125	3743
1999.375	3959
1999.625	3934
1999.875	4004
2000.125	4028
2000.375	4085
2000.625	4183
2000.875	4202
2001.125	4242
2001.375	4238
2001.625	4306
2001.875	4371
2002.125	4351
2002.375	4416
2002.625	4409
2002.875	4404
2003.125	4430
2003.375	4489
2003.625	4469
2003.875	4506
2004.125	4437
2004.375	4507
2004.625	4543
2004.875	4499
2005.125	4494
2005.375	4566
2005.625	4578
2005.875	4587
2006.125	4512
2006.375	4593
2006.625	4635
2006.875	4585
2007.125	4630
2007.375	4657
2007.625	4724
2007.875	4724
2008.125	4590
2008.375	4646
2008.625	4581
2008.875	4603
2009.125	4529
2009.375	4733
2009.625	4695
2009.875	4723
2010.125	4694
2010.375	4658
2010.625	4714
2010.875	4663
2011.125	4576
2011.375	4589
2011.625	4572
2011.875	4530
2012.125	4557
2012.375	4664
2012.625	4660
2012.875	4635
2013.125	4521
2013.375	4626
2013.625	4654
2013.875	4611
2014.125	4569
2014.375	4661
2014.625	4636
2014.875	4706
2015.125	4666
2015.375	4743
2015.625	4811
2015.875	4793
2016.125	4827
2016.375	4852
