# Time series of US dollars raised by Jill Stein's recount fundraiser for the
# 2016 US presidential election.
#
# MINUTES = time datum scraped, in minutes elapsed after the first datum
# DOLLARS = US dollars raised, as scraped from her campaign's website
MINUTES	DOLLARS
0	179568.5
0.483333	179949.5
1.21667	182232.5
1.83333	183291.5
2.61667	186363.5
4.03333	188542
5.51667	193230
7.2	200279.09
9.91667	209896
10.9167	210294.03
12.1167	214964.03
12.8	216469.74
13.5167	216469.74
14.0333	220323.74
15.45	228320.74
17.15	233176.74
19.1833	239280.9
21.3	242340.9
23.5833	249243
25.2167	251607
27.0333	259436.77
29.0167	263544
31	268966
32.7667	275016.45
34.4333	277705.45
36.2	285500.39
40.55	294291.39
42.2	300861.39
43.9333	309503.4
45.7	315618.04
47.6667	322068.04
49.2167	327200.04
50.8333	333086.04
52.4833	338212.15
54.2167	342265.15
55.7667	345683.15
57.3167	351822.68
59.0167	356270.84
60.9	362104.84
62.7667	368333.84
64.3333	373228.11
66.1	381191.98
67.9	385146.48
69.7333	391009.14
71.6	395976.84
73.5833	401529.84
75.3667	405962.84
77.2333	414130.84
78.75	421552
80.65	426929
82.5833	433708
84.3667	441455
85.9333	452517.88
87.5333	459392.05
89.5333	463589.05
91.2667	470546.08
93.1667	478039.52
94.8333	487645.86
96.5333	494680.76
98.25	499817.76
100.1	508084.76
102.067	519124.92
103.717	525947.92
105.717	539037.97
107.467	545421.97
109.267	552006.11
111.25	565499.97
113.15	572904.02
114.683	579533.02
116.483	587611.02
118.433	593344.77
120.3	601843.66
122.133	610508.64
124.15	618409.64
125.767	625344.47
127.7	633062.47
129.55	642589.47
131.317	651290.47
133.333	661404.69
135.183	671542.29
137	679594.3
138.917	686324.31
140.75	693955.77
142.45	698928.77
144.183	708080.22
145.9	718479.55
147.617	725386.55
149.4	733355.55
151.067	739844.55
152.617	749015.6
154.433	755992.6
156	762438.6
157.8	769687
159.75	780759
161.45	787402
163.367	796323
165.083	804515.16
166.783	807765.16
168.433	820460.66
170.05	828014.66
171.833	838171
173.6	846821.35
175.533	856183.35
177.083	859561
178.817	872300
180.45	879298.18
182.05	887597.38
183.9	895917.06
185.883	905663.6
187.783	913608.6
189.717	921351.6
191.367	929387.6
192.95	935727.13
194.783	943020.13
196.517	950992
198.2	957183.53
200.183	967717.69
201.983	978382.69
203.617	981240.24
205.333	993094.24
207.317	1005960.24
209.317	1016709
210.917	1023535.25
212.55	1031100.25
214.183	1037035
216	1044112
217.55	1049312.01
219.4	1058122.68
220.95	1063333.68
222.817	1070694.38
224.533	1082135.54
