X Y
-1e+09 -1e-11
-9.9e+08 -9.9e-12
-9.8e+08 -9.8e-12
-9.7e+08 -9.7e-12
-9.6e+08 -9.6e-12
-9.5e+08 -9.5e-12
-9.4e+08 -9.4e-12
-9.3e+08 -9.3e-12
-9.2e+08 -9.2e-12
-9.1e+08 -9.1e-12
-9e+08 -9e-12
-8.9e+08 -8.9e-12
-8.8e+08 -8.8e-12
-8.7e+08 -8.7e-12
-8.6e+08 -8.6e-12
-8.5e+08 -8.5e-12
-8.4e+08 -8.4e-12
-8.3e+08 -8.3e-12
-8.2e+08 -8.2e-12
-8.1e+08 -8.1e-12
-8e+08 -8e-12
-7.9e+08 -7.9e-12
-7.8e+08 -7.8e-12
-7.7e+08 -7.7e-12
-7.6e+08 -7.6e-12
-7.5e+08 -7.5e-12
-7.4e+08 -7.4e-12
-7.3e+08 -7.3e-12
-7.2e+08 -7.2e-12
-7.1e+08 -7.1e-12
-7e+08 -7e-12
-6.9e+08 -6.9e-12
-6.8e+08 -6.8e-12
-6.7e+08 -6.7e-12
-6.6e+08 -6.6e-12
-6.5e+08 -6.5e-12
-6.4e+08 -6.4e-12
-6.3e+08 -6.3e-12
-6.2e+08 -6.2e-12
-6.1e+08 -6.1e-12
-6e+08 -6e-12
-5.9e+08 -5.9e-12
-5.8e+08 -5.8e-12
-5.7e+08 -5.7e-12
-5.6e+08 -5.6e-12
-5.5e+08 -5.5e-12
-5.4e+08 -5.4e-12
-5.3e+08 -5.3e-12
-5.2e+08 -5.2e-12
-5.1e+08 -5.1e-12
-5e+08 -5e-12
-4.9e+08 -4.9e-12
-4.8e+08 -4.8e-12
-4.7e+08 -4.7e-12
-4.6e+08 -4.6e-12
-4.5e+08 -4.5e-12
-4.4e+08 -4.4e-12
-4.3e+08 -4.3e-12
-4.2e+08 -4.2e-12
-4.1e+08 -4.1e-12
-4e+08 -4e-12
-3.9e+08 -3.9e-12
-3.8e+08 -3.8e-12
-3.7e+08 -3.7e-12
-3.6e+08 -3.6e-12
-3.5e+08 -3.5e-12
-3.4e+08 -3.4e-12
-3.3e+08 -3.3e-12
-3.2e+08 -3.2e-12
-3.1e+08 -3.1e-12
-3e+08 -3e-12
-2.9e+08 -2.9e-12
-2.8e+08 -2.8e-12
-2.7e+08 -2.7e-12
-2.6e+08 -2.6e-12
-2.5e+08 -2.5e-12
-2.4e+08 -2.4e-12
-2.3e+08 -2.3e-12
-2.2e+08 -2.2e-12
-2.1e+08 -2.1e-12
-2e+08 -2e-12
-1.9e+08 -1.9e-12
-1.8e+08 -1.8e-12
-1.7e+08 -1.7e-12
-1.6e+08 -1.6e-12
-1.5e+08 -1.5e-12
-1.4e+08 -1.4e-12
-1.3e+08 -1.3e-12
-1.2e+08 -1.2e-12
-1.1e+08 -1.1e-12
-1e+08 -1e-12
-9e+07 -9e-13
-8e+07 -8e-13
-7e+07 -7e-13
-6e+07 -6e-13
-5e+07 -5e-13
-4e+07 -4e-13
-3e+07 -3e-13
-2e+07 -2e-13
-1e+07 -1e-13
0 0
1e+07 1e-13
2e+07 2e-13
3e+07 3e-13
4e+07 4e-13
5e+07 5e-13
6e+07 6e-13
7e+07 7e-13
8e+07 8e-13
9e+07 9e-13
1e+08 1e-12
1.1e+08 1.1e-12
1.2e+08 1.2e-12
1.3e+08 1.3e-12
1.4e+08 1.4e-12
1.5e+08 1.5e-12
1.6e+08 1.6e-12
1.7e+08 1.7e-12
1.8e+08 1.8e-12
1.9e+08 1.9e-12
2e+08 2e-12
2.1e+08 2.1e-12
2.2e+08 2.2e-12
2.3e+08 2.3e-12
2.4e+08 2.4e-12
2.5e+08 2.5e-12
2.6e+08 2.6e-12
2.7e+08 2.7e-12
2.8e+08 2.8e-12
2.9e+08 2.9e-12
3e+08 3e-12
3.1e+08 3.1e-12
3.2e+08 3.2e-12
3.3e+08 3.3e-12
3.4e+08 3.4e-12
3.5e+08 3.5e-12
3.6e+08 3.6e-12
3.7e+08 3.7e-12
3.8e+08 3.8e-12
3.9e+08 3.9e-12
4e+08 4e-12
4.1e+08 4.1e-12
4.2e+08 4.2e-12
4.3e+08 4.3e-12
4.4e+08 4.4e-12
4.5e+08 4.5e-12
4.6e+08 4.6e-12
4.7e+08 4.7e-12
4.8e+08 4.8e-12
4.9e+08 4.9e-12
5e+08 5e-12
5.1e+08 5.1e-12
5.2e+08 5.2e-12
5.3e+08 5.3e-12
5.4e+08 5.4e-12
5.5e+08 5.5e-12
5.6e+08 5.6e-12
5.7e+08 5.7e-12
5.8e+08 5.8e-12
5.9e+08 5.9e-12
6e+08 6e-12
6.1e+08 6.1e-12
6.2e+08 6.2e-12
6.3e+08 6.3e-12
6.4e+08 6.4e-12
6.5e+08 6.5e-12
6.6e+08 6.6e-12
6.7e+08 6.7e-12
6.8e+08 6.8e-12
6.9e+08 6.9e-12
7e+08 7e-12
7.1e+08 7.1e-12
7.2e+08 7.2e-12
7.3e+08 7.3e-12
7.4e+08 7.4e-12
7.5e+08 7.5e-12
7.6e+08 7.6e-12
7.7e+08 7.7e-12
7.8e+08 7.8e-12
7.9e+08 7.9e-12
8e+08 8e-12
8.1e+08 8.1e-12
8.2e+08 8.2e-12
8.3e+08 8.3e-12
8.4e+08 8.4e-12
8.5e+08 8.5e-12
8.6e+08 8.6e-12
8.7e+08 8.7e-12
8.8e+08 8.8e-12
8.9e+08 8.9e-12
9e+08 9e-12
9.1e+08 9.1e-12
9.2e+08 9.2e-12
9.3e+08 9.3e-12
9.4e+08 9.4e-12
9.5e+08 9.5e-12
9.6e+08 9.6e-12
9.7e+08 9.7e-12
9.8e+08 9.8e-12
9.9e+08 9.9e-12
1e+09 1e-11
